25440,,aa
23075,,aah
32362,,aahed
55748,,aahing
9760,,aahs
70429,,aal
79480,,aalii
55428,,aaliis
80757,,aals
56566,,aardvark
66059,,aardvarks
50703,,aardwolf
37383,,aardwolves
53391,,aargh
26442,,aas
36114,,aasvogel
35421,,aasvogels
52251,,aba
64324,,abaca
18619,,abacas
75828,,abaci
41284,,aback
22925,,abacus
62097,,abacuses
52391,,abaft
41118,,abaka
29056,,abakas
88505,,abalone
2625,,abalones
96480,,abamp
4262,,abampere
51203,,abamperes
15326,,abamps
10611,,abandon
15369,,abandoned
92603,,abandoning
31888,,abandonment
71774,,abandonments
78288,,abandons
27386,,abas
19817,,abase
13091,,abased
16759,,abasedly
31642,,abasement
51174,,abasements
55007,,abaser
51035,,abasers
51517,,abases
80881,,abash
63862,,abashed
80362,,abashes
77238,,abashing
2287,,abashment
55932,,abashments
35921,,abasing
16022,,abatable
25895,,abate
78037,,abated
17124,,abatement
10457,,abatements
898,,abater
87006,,abaters
52754,,abates
671,,abating
27086,,abatis
7401,,abatises
74822,,abator
75907,,abators
17347,,abattis
75253,,abattises
67992,,abattoir
40511,,abattoirs
94463,,abaxial
53971,,abaxile
7698,,abba
28071,,abbacies
44568,,abbacy
56899,,abbas
41067,,abbatial
50593,,abbe
89376,,abbes
66326,,abbess
46087,,abbesses
49235,,abbey
63356,,abbeys
50393,,abbot
26788,,abbotcies
34437,,abbotcy
78619,,abbots
32535,,abbreviate
28911,,abbreviated
58682,,abbreviates
69758,,abbreviating
16576,,abbreviation
54436,,abbreviations
91524,,abbreviator
22988,,abbreviators
4891,,abdicate
37147,,abdicated
11693,,abdicates
55873,,abdicating
6704,,abdication
60255,,abdications
44694,,abdicator
79672,,abdicators
17834,,abdomen
76315,,abdomens
32035,,abdomina
70013,,abdominal
82084,,abdominally
61449,,abduce
86478,,abduced
31361,,abducens
51515,,abducent
71115,,abducentes
16065,,abduces
81963,,abducing
93164,,abduct
55918,,abducted
90956,,abducting
93731,,abduction
93665,,abductions
27281,,abductor
652,,abductores
77613,,abductors
33632,,abducts
1343,,abeam
52321,,abed
56675,,abele
37612,,abeles
10686,,abelmosk
37912,,abelmosks
69123,,aberrance
36746,,aberrances
48661,,aberrancies
38975,,aberrancy
82340,,aberrant
75222,,aberrants
78132,,aberration
45899,,aberrational
29110,,aberrations
4426,,abet
35711,,abetment
20925,,abetments
53144,,abets
85454,,abettal
64214,,abettals
98872,,abetted
64655,,abetter
3587,,abetters
69016,,abetting
60045,,abettor
53548,,abettors
72927,,abeyance
83714,,abeyances
54687,,abeyancies
42023,,abeyancy
60766,,abeyant
48497,,abfarad
53008,,abfarads
55950,,abhenries
29778,,abhenry
4633,,abhenrys
93363,,abhor
21832,,abhorred
66217,,abhorrence
69874,,abhorrent
38776,,abhorrently
11909,,abhorrer
38062,,abhorrers
67822,,abhorring
36707,,abhors
97610,,abidance
54710,,abidances
78763,,abide
57068,,abided
48480,,abider
2246,,abiders
75535,,abides
86881,,abiding
82661,,abigail
67393,,abigails
26473,,abilities
15320,,ability
58475,,abioses
49907,,abiosis
78306,,abiotic
30493,,abject
73629,,abjectly
79183,,abjectness
20698,,abjuration
29912,,abjurations
1157,,abjure
56452,,abjured
77330,,abjurer
465,,abjurers
2887,,abjures
81269,,abjuring
59710,,ablate
68139,,ablated
272,,ablates
11364,,ablating
16438,,ablation
55124,,ablations
86577,,ablative
89568,,ablatives
81368,,ablaut
6661,,ablauts
55908,,ablaze
42916,,able
81081,,ablegate
76234,,ablegates
84759,,abler
94460,,ables
30064,,ablest
81243,,ablings
48595,,ablins
20571,,abloom
40306,,abluent
19691,,abluents
32220,,ablush
45944,,abluted
32433,,ablution
27978,,ablutions
2862,,ably
76316,,abmho
80204,,abmhos
63551,,abnegate
77028,,abnegated
49974,,abnegates
95370,,abnegating
84719,,abnegation
55174,,abnegations
7055,,abnegator
78652,,abnegators
94896,,abnormal
46763,,abnormalities
39783,,abnormality
25668,,abnormally
47840,,abnormals
61419,,abo
66566,,aboard
48235,,abode
81157,,aboded
42180,,abodes
45516,,aboding
9113,,abohm
56432,,abohms
74311,,aboideau
97273,,aboideaus
74808,,aboideaux
